County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Harris,201,0689,2010689,4924,State Sen 15,Cook,D,N,21
Harris,201,0694,2010694,4929,State Sen 15,Cook,D,N,12
Harris,201,0697,2010697,4932,State Sen 15,Cook,D,N,14
Harris,201,0698,2010698,4933,State Sen 15,Cook,D,N,4
Harris,201,0701,2010701,4936,State Sen 15,Cook,D,N,4
Harris,201,0710,2010710,4945,State Sen 15,Cook,D,N,84
Harris,201,0717,2010717,4952,State Sen 15,Cook,D,N,5
Harris,201,0723,2010723,4958,State Sen 15,Cook,D,N,12
Harris,201,0729,2010729,4964,State Sen 15,Cook,D,N,6
Harris,201,0736,2010736,4971,State Sen 15,Cook,D,N,91
Harris,201,0757,2010757,4992,State Sen 15,Cook,D,N,12
Harris,201,0759,2010759,4994,State Sen 15,Cook,D,N,25
Harris,201,0764,2010764,4999,State Sen 15,Cook,D,N,16
Harris,201,0775,2010775,5010,State Sen 15,Cook,D,N,53
Harris,201,0776,2010776,5011,State Sen 15,Cook,D,N,24
Harris,201,0783,2010783,5018,State Sen 15,Cook,D,N,2
Harris,201,0809,2010809,5044,State Sen 15,Cook,D,N,0
Harris,201,0818,2010818,5053,State Sen 15,Cook,D,N,0
Harris,201,0819,2010819,5054,State Sen 15,Cook,D,N,0
Harris,201,0823,2010823,5058,State Sen 15,Cook,D,N,21
Harris,201,0826,2010826,5061,State Sen 15,Cook,D,N,17
Harris,201,0836,2010836,5071,State Sen 15,Cook,D,N,3
Harris,201,0839,2010839,5074,State Sen 15,Cook,D,N,13
Harris,201,0840,2010840,5075,State Sen 15,Cook,D,N,19
Harris,201,0848,2010848,5083,State Sen 15,Cook,D,N,32
Harris,201,0859,2010859,5094,State Sen 15,Cook,D,N,8
Harris,201,0861,2010861,5096,State Sen 15,Cook,D,N,2
Harris,201,0868,2010868,5103,State Sen 15,Cook,D,N,15
Harris,201,0870,2010870,5105,State Sen 15,Cook,D,N,0
Harris,201,0873,2010873,5108,State Sen 15,Cook,D,N,3
Harris,201,0883,2010883,5118,State Sen 15,Cook,D,N,14
Harris,201,0884,2010884,5119,State Sen 15,Cook,D,N,4
Harris,201,0885,2010885,5120,State Sen 15,Cook,D,N,26
Harris,201,0886,2010886,5121,State Sen 15,Cook,D,N,20
Harris,201,0887,2010887,5122,State Sen 15,Cook,D,N,7
Harris,201,0888,2010888,5123,State Sen 15,Cook,D,N,22
Harris,201,0891,2010891,5126,State Sen 15,Cook,D,N,49
Harris,201,0894,2010894,5129,State Sen 15,Cook,D,N,1
Harris,201,0895,2010895,5130,State Sen 15,Cook,D,N,45
Harris,201,0896,2010896,5131,State Sen 15,Cook,D,N,96
Harris,201,0902,2010902,5137,State Sen 15,Cook,D,N,83
Harris,201,0905,2010905,5140,State Sen 15,Cook,D,N,6
Harris,201,0911,2010911,5146,State Sen 15,Cook,D,N,13
Harris,201,0918,2010918,5153,State Sen 15,Cook,D,N,0
Harris,201,0919,2010919,5154,State Sen 15,Cook,D,N,106
Harris,201,0927,2010927,5162,State Sen 15,Cook,D,N,120
Harris,201,0931,2010931,5166,State Sen 15,Cook,D,N,6
Harris,201,0933,2010933,5168,State Sen 15,Cook,D,N,19
Harris,201,0937,2010937,5172,State Sen 15,Cook,D,N,64
Harris,201,0939,2010939,5174,State Sen 15,Cook,D,N,0
Harris,201,0952,2010952,5187,State Sen 15,Cook,D,N,0
Harris,201,0954,2010954,5189,State Sen 15,Cook,D,N,3
Harris,201,0956,2010956,5191,State Sen 15,Cook,D,N,8
Harris,201,0961,2010961,5196,State Sen 15,Cook,D,N,3
Harris,201,0963,2010963,5198,State Sen 15,Cook,D,N,5
Harris,201,0964,2010964,5199,State Sen 15,Cook,D,N,10
Harris,201,0965,2010965,5200,State Sen 15,Cook,D,N,3
Harris,201,0966,2010966,5201,State Sen 15,Cook,D,N,4
Harris,201,0967,2010967,5202,State Sen 15,Cook,D,N,6
Harris,201,0968,2010968,5203,State Sen 15,Cook,D,N,15
Harris,201,0971,2010971,5206,State Sen 15,Cook,D,N,4
Harris,201,0975,2010975,5210,State Sen 15,Cook,D,N,5
Harris,201,0977,2010977,5212,State Sen 15,Cook,D,N,6
Harris,201,0979,2010979,5214,State Sen 15,Cook,D,N,0
Harris,201,0987,2010987,5222,State Sen 15,Cook,D,N,5
Harris,201,0989,2010989,5224,State Sen 15,Cook,D,N,0
Harris,201,0990,2010990,5225,State Sen 15,Cook,D,N,0
Harris,201,0993,2010993,5228,State Sen 15,Cook,D,N,0
Harris,201,1003,2011003,5238,State Sen 15,Cook,D,N,0
Harris,201,1004,2011004,5239,State Sen 15,Cook,D,N,17
Harris,201,1012,2011012,5247,State Sen 15,Cook,D,N,0
Harris,201,1020,2011020,5255,State Sen 15,Cook,D,N,14
Harris,201,1021,2011021,5256,State Sen 15,Cook,D,N,8
Harris,201,1023,2011023,5258,State Sen 15,Cook,D,N,1
Harris,201,1025,2011025,5260,State Sen 15,Cook,D,N,9
Harris,201,1028,2011028,5263,State Sen 15,Cook,D,N,14
Harris,201,1035,2011035,5270,State Sen 15,Cook,D,N,0
Harris,201,1036,2011036,5271,State Sen 15,Cook,D,N,2
Harris,201,1038,2011038,5273,State Sen 15,Cook,D,N,18
Harris,201,1053,2011053,5288,State Sen 15,Cook,D,N,5
Harris,201,1058,2011058,5293,State Sen 15,Cook,D,N,2
Harris,201,1060,2011060,5295,State Sen 15,Cook,D,N,0
Harris,201,1061,2011061,5296,State Sen 15,Cook,D,N,16
Harris,201,1073,2011073,5308,State Sen 15,Cook,D,N,0
Harris,201,1074,2011074,5309,State Sen 15,Cook,D,N,2
Harris,201,1080,2011080,5315,State Sen 15,Cook,D,N,3
Harris,201,1081,2011081,5316,State Sen 15,Cook,D,N,3
Harris,201,1082,2011082,5317,State Sen 15,Cook,D,N,0
Harris,201,1083,2011083,5318,State Sen 15,Cook,D,N,0
Harris,201,1092,2011092,5327,State Sen 15,Cook,D,N,2
Harris,201,1094,2011094,5329,State Sen 15,Cook,D,N,0
Harris,201,1097,2011097,5332,State Sen 15,Cook,D,N,3
Harris,201,1098,2011098,5333,State Sen 15,Cook,D,N,4
Harris,201,1114,2011114,5349,State Sen 15,Cook,D,N,12
Harris,201,1115,2011115,5350,State Sen 15,Cook,D,N,1
Harris,201,1117,2011117,5352,State Sen 15,Cook,D,N,20
Harris,201,1124,2011124,5359,State Sen 15,Cook,D,N,0
Harris,201,1129,2011129,5364,State Sen 15,Cook,D,N,0
Harris,201,1132,2011132,5367,State Sen 15,Cook,D,N,0
Harris,201,1139,2011139,5374,State Sen 15,Cook,D,N,9
Harris,201,1140,2011140,5375,State Sen 15,Cook,D,N,2
Harris,201,1143,2011143,5378,State Sen 15,Cook,D,N,0
Harris,201,1148,2011148,5383,State Sen 15,Cook,D,N,3
Harris,201,1149,2011149,5384,State Sen 15,Cook,D,N,40
Harris,201,1150,2011150,5385,State Sen 15,Cook,D,N,0
Harris,201,1156,2011156,5391,State Sen 15,Cook,D,N,0
Harris,201,1159,2011159,5394,State Sen 15,Cook,D,N,0
Harris,201,1170,2011170,5405,State Sen 15,Cook,D,N,33
Harris,201,0003,2010003,4236,State Sen 15,Johnson,D,N,61
Harris,201,0004,2010004,4237,State Sen 15,Johnson,D,N,22
Harris,201,0005,2010005,4238,State Sen 15,Johnson,D,N,18
Harris,201,0008,2010008,4241,State Sen 15,Johnson,D,N,14
Harris,201,0014,2010014,4247,State Sen 15,Johnson,D,N,43
Harris,201,0015,2010015,4248,State Sen 15,Johnson,D,N,64
Harris,201,0017,2010017,4250,State Sen 15,Johnson,D,N,16
Harris,201,0018,2010018,4251,State Sen 15,Johnson,D,N,32
Harris,201,0030,2010030,4263,State Sen 15,Johnson,D,N,39
Harris,201,0032,2010032,4265,State Sen 15,Johnson,D,N,22
Harris,201,0033,2010033,4266,State Sen 15,Johnson,D,N,48
Harris,201,0034,2010034,4267,State Sen 15,Johnson,D,N,40
Harris,201,0037,2010037,4270,State Sen 15,Johnson,D,N,38
Harris,201,0038,2010038,4271,State Sen 15,Johnson,D,N,54
Harris,201,0039,2010039,4272,State Sen 15,Johnson,D,N,45
Harris,201,0040,2010040,4273,State Sen 15,Johnson,D,N,10
Harris,201,0043,2010043,4276,State Sen 15,Johnson,D,N,9
Harris,201,0052,2010052,4286,State Sen 15,Johnson,D,N,18
Harris,201,0053,2010053,4287,State Sen 15,Johnson,D,N,15
Harris,201,0054,2010054,4288,State Sen 15,Johnson,D,N,24
Harris,201,0055,2010055,4289,State Sen 15,Johnson,D,N,14
Harris,201,0057,2010057,4291,State Sen 15,Johnson,D,N,58
Harris,201,0058,2010058,4292,State Sen 15,Johnson,D,N,17
Harris,201,0059,2010059,4293,State Sen 15,Johnson,D,N,47
Harris,201,0060,2010060,4294,State Sen 15,Johnson,D,N,40
Harris,201,0070,2010070,4304,State Sen 15,Johnson,D,N,55
Harris,201,0071,2010071,4305,State Sen 15,Johnson,D,N,19
Harris,201,0073,2010073,4307,State Sen 15,Johnson,D,N,38
Harris,201,0075,2010075,4309,State Sen 15,Johnson,D,N,12
Harris,201,0080,2010080,4314,State Sen 15,Johnson,D,N,64
Harris,201,0086,2010086,4320,State Sen 15,Johnson,D,N,39
Harris,201,0087,2010087,4321,State Sen 15,Johnson,D,N,54
Harris,201,0089,2010089,4323,State Sen 15,Johnson,D,N,25
Harris,201,0108,2010108,4342,State Sen 15,Johnson,D,N,26
Harris,201,0109,2010109,4343,State Sen 15,Johnson,D,N,71
Harris,201,0113,2010113,4347,State Sen 15,Johnson,D,N,21
Harris,201,0117,2010117,4351,State Sen 15,Johnson,D,N,7
Harris,201,0122,2010122,4356,State Sen 15,Johnson,D,N,74
Harris,201,0123,2010123,4357,State Sen 15,Johnson,D,N,24
Harris,201,0125,2010125,4359,State Sen 15,Johnson,D,N,20
Harris,201,0128,2010128,4362,State Sen 15,Johnson,D,N,62
Harris,201,0133,2010133,4367,State Sen 15,Johnson,D,N,47
Harris,201,0139,2010139,4373,State Sen 15,Johnson,D,N,55
Harris,201,0146,2010146,4380,State Sen 15,Johnson,D,N,61
Harris,201,0147,2010147,4381,State Sen 15,Johnson,D,N,110
Harris,201,0148,2010148,4382,State Sen 15,Johnson,D,N,84
Harris,201,0156,2010156,4390,State Sen 15,Johnson,D,N,0
Harris,201,0157,2010157,4391,State Sen 15,Johnson,D,N,76
Harris,201,0164,2010164,4398,State Sen 15,Johnson,D,N,35
Harris,201,0169,2010169,4403,State Sen 15,Johnson,D,N,77
Harris,201,0175,2010175,4409,State Sen 15,Johnson,D,N,47
Harris,201,0176,2010176,4410,State Sen 15,Johnson,D,N,33
Harris,201,0177,2010177,4411,State Sen 15,Johnson,D,N,21
Harris,201,0179,2010179,4413,State Sen 15,Johnson,D,N,10
Harris,201,0182,2010182,4416,State Sen 15,Johnson,D,N,5
Harris,201,0183,2010183,4417,State Sen 15,Johnson,D,N,46
Harris,201,0189,2010189,4423,State Sen 15,Johnson,D,N,25
Harris,201,0192,2010192,4426,State Sen 15,Johnson,D,N,48
Harris,201,0195,2010195,4429,State Sen 15,Johnson,D,N,50
Harris,201,0197,2010197,4431,State Sen 15,Johnson,D,N,80
Harris,201,0200,2010200,4434,State Sen 15,Johnson,D,N,73
Harris,201,0204,2010204,4438,State Sen 15,Johnson,D,N,42
Harris,201,0214,2010214,4448,State Sen 15,Johnson,D,N,37
Harris,201,0215,2010215,4449,State Sen 15,Johnson,D,N,32
Harris,201,0224,2010224,4458,State Sen 15,Johnson,D,N,59
Harris,201,0232,2010232,4466,State Sen 15,Johnson,D,N,39
Harris,201,0233,2010233,4467,State Sen 15,Johnson,D,N,33
Harris,201,0244,2010244,4478,State Sen 15,Johnson,D,N,17
Harris,201,0255,2010255,4489,State Sen 15,Johnson,D,N,70
Harris,201,0259,2010259,4493,State Sen 15,Johnson,D,N,122
Harris,201,0264,2010264,4498,State Sen 15,Johnson,D,N,25
Harris,201,0268,2010268,4502,State Sen 15,Johnson,D,N,31
Harris,201,0270,2010270,4504,State Sen 15,Johnson,D,N,49
Harris,201,0272,2010272,4506,State Sen 15,Johnson,D,N,10
Harris,201,0281,2010281,4515,State Sen 15,Johnson,D,N,62
Harris,201,0282,2010282,4516,State Sen 15,Johnson,D,N,14
Harris,201,0283,2010283,4517,State Sen 15,Johnson,D,N,13
Harris,201,0291,2010291,4525,State Sen 15,Johnson,D,N,8
Harris,201,0293,2010293,4527,State Sen 15,Johnson,D,N,18
Harris,201,0298,2010298,4532,State Sen 15,Johnson,D,N,29
Harris,201,0299,2010299,4533,State Sen 15,Johnson,D,N,9
Harris,201,0304,2010304,4538,State Sen 15,Johnson,D,N,43
Harris,201,0313,2010313,4547,State Sen 15,Johnson,D,N,1
Harris,201,0315,2010315,4549,State Sen 15,Johnson,D,N,47
Harris,201,0316,2010316,4550,State Sen 15,Johnson,D,N,34
Harris,201,0317,2010317,4551,State Sen 15,Johnson,D,N,14
Harris,201,0322,2010322,4556,State Sen 15,Johnson,D,N,14
Harris,201,0323,2010323,4557,State Sen 15,Johnson,D,N,20
Harris,201,0324,2010324,4558,State Sen 15,Johnson,D,N,63
Harris,201,0327,2010327,4561,State Sen 15,Johnson,D,N,64
Harris,201,0330,2010330,4564,State Sen 15,Johnson,D,N,21
Harris,201,0334,2010334,4568,State Sen 15,Johnson,D,N,5
Harris,201,0342,2010342,4576,State Sen 15,Johnson,D,N,7
Harris,201,0345,2010345,4579,State Sen 15,Johnson,D,N,10
Harris,201,0350,2010350,4584,State Sen 15,Johnson,D,N,37
Harris,201,0360,2010360,4594,State Sen 15,Johnson,D,N,49
Harris,201,0363,2010363,4597,State Sen 15,Johnson,D,N,20
Harris,201,0364,2010364,4598,State Sen 15,Johnson,D,N,18
Harris,201,0365,2010365,4599,State Sen 15,Johnson,D,N,210
Harris,201,0366,2010366,4600,State Sen 15,Johnson,D,N,14
Harris,201,0367,2010367,4601,State Sen 15,Johnson,D,N,23
Harris,201,0376,2010376,4610,State Sen 15,Johnson,D,N,13
Harris,201,0380,2010380,4614,State Sen 15,Johnson,D,N,98
Harris,201,0383,2010383,4617,State Sen 15,Johnson,D,N,31
Harris,201,0388,2010388,4622,State Sen 15,Johnson,D,N,26
Harris,201,0403,2010403,4637,State Sen 15,Johnson,D,N,55
Harris,201,0407,2010407,4641,State Sen 15,Johnson,D,N,31
Harris,201,0410,2010410,4644,State Sen 15,Johnson,D,N,11
Harris,201,0421,2010421,4655,State Sen 15,Johnson,D,N,33
Harris,201,0424,2010424,4658,State Sen 15,Johnson,D,N,12
Harris,201,0432,2010432,4666,State Sen 15,Johnson,D,N,7
Harris,201,0446,2010446,4680,State Sen 15,Johnson,D,N,2
Harris,201,0447,2010447,4681,State Sen 15,Johnson,D,N,12
Harris,201,0448,2010448,4682,State Sen 15,Johnson,D,N,83
Harris,201,0450,2010450,4684,State Sen 15,Johnson,D,N,69
Harris,201,0457,2010457,4691,State Sen 15,Johnson,D,N,0
Harris,201,0467,2010467,4701,State Sen 15,Johnson,D,N,28
Harris,201,0468,2010468,4702,State Sen 15,Johnson,D,N,43
Harris,201,0472,2010472,4706,State Sen 15,Johnson,D,N,46
Harris,201,0493,2010493,4727,State Sen 15,Johnson,D,N,36
Harris,201,0494,2010494,4728,State Sen 15,Johnson,D,N,56
Harris,201,0496,2010496,4730,State Sen 15,Johnson,D,N,13
Harris,201,0498,2010498,4732,State Sen 15,Johnson,D,N,19
Harris,201,0501,2010501,4735,State Sen 15,Johnson,D,N,34
Harris,201,0505,2010505,4739,State Sen 15,Johnson,D,N,42
Harris,201,0516,2010516,4750,State Sen 15,Johnson,D,N,17
Harris,201,0520,2010520,4754,State Sen 15,Johnson,D,N,0
Harris,201,0548,2010548,4782,State Sen 15,Johnson,D,N,21
Harris,201,0549,2010549,4783,State Sen 15,Johnson,D,N,51
Harris,201,0570,2010570,4804,State Sen 15,Johnson,D,N,8
Harris,201,0576,2010576,4810,State Sen 15,Johnson,D,N,100
Harris,201,0578,2010578,4812,State Sen 15,Johnson,D,N,49
Harris,201,0592,2010592,4826,State Sen 15,Johnson,D,N,16
Harris,201,0593,2010593,4827,State Sen 15,Johnson,D,N,25
Harris,201,0594,2010594,4828,State Sen 15,Johnson,D,N,53
Harris,201,0597,2010597,4831,State Sen 15,Johnson,D,N,12
Harris,201,0609,2010609,4843,State Sen 15,Johnson,D,N,42
Harris,201,0610,2010610,4844,State Sen 15,Johnson,D,N,6
Harris,201,0613,2010613,4847,State Sen 15,Johnson,D,N,34
Harris,201,0614,2010614,4848,State Sen 15,Johnson,D,N,48
Harris,201,0628,2010628,4862,State Sen 15,Johnson,D,N,14
Harris,201,0629,2010629,4863,State Sen 15,Johnson,D,N,4
Harris,201,0657,2010657,4891,State Sen 15,Johnson,D,N,27
Harris,201,0660,2010660,4894,State Sen 15,Johnson,D,N,140
Harris,201,0661,2010661,4895,State Sen 15,Johnson,D,N,30
Harris,201,0663,2010663,4897,State Sen 15,Johnson,D,N,12
Harris,201,0666,2010666,4900,State Sen 15,Johnson,D,N,0
Harris,201,0671,2010671,4905,State Sen 15,Johnson,D,N,12
Harris,201,0678,2010678,4913,State Sen 15,Johnson,D,N,39
Harris,201,0680,2010680,4915,State Sen 15,Johnson,D,N,2
Harris,201,0685,2010685,4920,State Sen 15,Johnson,D,N,4
Harris,201,0689,2010689,4924,State Sen 15,Johnson,D,N,10
Harris,201,0694,2010694,4929,State Sen 15,Johnson,D,N,7
Harris,201,0697,2010697,4932,State Sen 15,Johnson,D,N,44
Harris,201,0698,2010698,4933,State Sen 15,Johnson,D,N,31
Harris,201,0701,2010701,4936,State Sen 15,Johnson,D,N,0
Harris,201,0710,2010710,4945,State Sen 15,Johnson,D,N,44
